City|Location|Price(PKR)|Bedrooms|Baths|Size (Sqft)
Lahore|DHA Phase 6, DHA Defence|74500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|51500000|5|6|4500
Lahore|Dream Gardens, Defence Road|7500000|1|1|518
Lahore|DHA Phase 6, DHA Defence|73000000|5|6|4500
Lahore|Bahria Town - Sector B, Bahria Town|5700000|1|1|472
Lahore|Valencia - Block L, Valencia Housing Society|75000000|6|7|4500
Lahore|IEP Engineers Town, Lahore|130000000|8|8|9000
Lahore|Bahria Town - Overseas B, Bahria Town - Overseas Enclave|29500000|5|6|2250
Lahore|Bahria Town - Janiper Block, Bahria Town - Sector C|37000000|5|5|2250
Lahore|Johar Town, Lahore|28500000|5|6|1238
Lahore|Bahria Orchard Phase 1 - Eastern, Bahria Orchard Phase 1|15500000|3|2|1125
Lahore|Bedian Road, Lahore|10500000|3|4|1125
Lahore|DHA Phase 6, DHA Defence|94000000|5|6|4500
Lahore|State Life Housing Phase 1, State Life Housing Society|41000000|5|6|4500
Lahore|Valencia Housing Society, Lahore|39000000|0|0|2250
Lahore|Bahria Town - Block BB, Bahria Town - Sector D|17500000|3|4|1125
Lahore|Bahria Town - Janiper Block, Bahria Town - Sector C|37000000|5|5|2250
Lahore|Bahria Town - Block AA, Bahria Town - Sector D|22500000|3|4|1125
Lahore|DHA Phase 6, DHA Defence|71000000|5|6|4500
Lahore|Bahria Town - Rafi Block, Bahria Town - Sector E|28500000|5|6|2250
Lahore|Bahria Town - Rafi Block, Bahria Town - Sector E|85000000|5|6|4500
Lahore|Bahria Town - Block BB, Bahria Town - Sector D|23000000|3|4|1125
Lahore|Bahria Town - Block BB, Bahria Town - Sector D|21000000|3|4|1125
Lahore|Bahria Town - Block BB, Bahria Town - Sector D|18500000|3|4|1125
Lahore|DHA Phase 6 - Block E, DHA Phase 6|300000000|6|7|9000
Lahore|Architects Engineers Housing Society, Lahore|57000000|5|5|4500
Lahore|Johar Town, Lahore|29000000|5|5|1125
Lahore|Paragon City, Lahore|50000000|5|6|2250
Lahore|Johar Town Phase 2, Johar Town|29000000|5|6|1125
Lahore|DHA Phase 7 - Block Y, DHA Phase 7|61000000|5|6|4500
Lahore|Johar Town, Lahore|62500000|6|7|2700
Lahore|Johar Town, Lahore|44500000|5|6|2700
Lahore|Lake City - Sector M-5, Lake City|37500000|5|6|2250
Lahore|IEP Engineers Town - Block E5, IEP Engineers Town - Sector A|16500000|5|5|1125
Lahore|Bahria Town - Block AA, Bahria Town - Sector D|18600000|3|4|1125
Lahore|Architects Engineers Housing Society, Lahore|31000000|5|5|2250
